Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
1-3 years,PHP,Ruby on Rails,Microsoft SQL Server,Travis CI,No,Yes,No,Data Scientist,Yes,Yes
Less than 1 year,Other (please specify),Keras,MySQL,Other (please specify),No,Yes,Yes,Project Manager,Yes,No
3-5 years,Other (please specify),Flask,SQLite,Other (please specify),No,No,No,Full-Stack Developer,No,No
More than 5 years,PHP,Svelte,Other (please specify),Other (please specify),No,No,No,Mobile Developer,No,No
1-3 years,C,Dask,Microsoft SQL Server,Azure,Yes,No,Yes,Network Engineer,Yes,No
More than 5 years,Ruby,Numpy,Redis,Google Cloud Platform,Yes,No,No,Robotics Engineer,Yes,No
More than 5 years,C,GTK,MySQL,Apache,Yes,Yes,No,AI Researcher,Yes,Yes
Less than 1 year,Ruby,Express.js,PostgreSQL,Apache,Yes,Yes,Yes,Robotics Engineer,Yes,No
Less than 1 year,JavaScript,SwiftUI,MongoDB,CircleCI,No,No,No,Software Engineer,No,No
3-5 years,JavaScript,React Native,Microsoft SQL Server,AWS,Yes,Yes,No,Data Scientist,Yes,No
None,JavaScript,Kotlin Multiplatform Mobile (KMM),Microsoft SQL Server,Kubernetes,Yes,No,No,Systems Analyst,No,Yes
Less than 1 year,JavaScript,Apache Spark,OracleDB,Other (please specify),No,No,No,AI Researcher,No,Yes
1-3 years,TypeScript,TensorFlow,Redis,Azure,Yes,Yes,Yes,Robotics Engineer,Yes,Yes
1-3 years,TypeScript,Dask,Microsoft SQL Server,GitLab CI/CD,Yes,No,Yes,Database Administrator,No,Yes
3-5 years,C++,CryEngine,MySQL,Apache,No,No,No,Mobile Developer,No,Yes
1-3 years,Kotlin,Xamarin,Microsoft SQL Server,Kubernetes,No,No,Yes,Systems Analyst,No,Yes
Less than 1 year,TypeScript,Next.js,MySQL,Nginx,No,No,Yes,Back-End Developer,Yes,No
More than 5 years,Python,SwiftUI,Microsoft SQL Server,Apache,Yes,Yes,No,DevOps Engineer,No,No
Less than 1 year,Swift,Kali Linux,OracleDB,Git,Yes,Yes,Yes,Data Scientist,Yes,Yes
Less than 1 year,Ruby,Flutter,CassandraDB,Nginx,Yes,No,Yes,Cybersecurity Analyst,No,Yes
1-3 years,Rust,Unity,SQLite,Azure,No,No,No,Front-End Developer,No,Yes
None,Dart,React,Redis,AWS,Yes,No,Yes,DevOps Engineer,Yes,Yes
Less than 1 year,C++,Ruby on Rails,MySQL,Azure,No,No,Yes,Game Developer,Yes,Yes
Less than 1 year,Ruby,Burp Suite,MySQL,Nginx,No,No,No,DevOps Engineer,Yes,No
Less than 1 year,Rust,Kali Linux,MySQL,Apache,No,No,Yes,Machine Learning Engineer,No,Yes
1-3 years,Java,JavaFX,Redis,Docker,No,No,Yes,Data Scientist,Yes,No
More than 5 years,TypeScript,Angular,Microsoft SQL Server,Ansible,No,No,Yes,Project Manager,No,No
More than 5 years,PHP,Pandas,Microsoft SQL Server,GitLab CI/CD,Yes,Yes,No,Data Scientist,No,Yes
More than 5 years,C++,Django,SQLite,GitLab CI/CD,No,No,Yes,Software Engineer,No,No
More than 5 years,None,Django,MySQL,DigitalOcean,Yes,No,Yes,IT Support Specialist,No,No
None,C#,Kali Linux,MongoDB,Google Cloud Platform,No,No,Yes,Network Engineer,Yes,No
3-5 years,C#,Svelte,CassandraDB,Jenkins,No,Yes,Yes,Product Manager,Yes,No
Less than 1 year,PHP,Kotlin Multiplatform Mobile (KMM),OracleDB,Travis CI,Yes,No,No,Cloud Engineer,Yes,Yes
Less than 1 year,C#,React,SQLite,AWS,No,Yes,No,Network Engineer,Yes,No
1-3 years,None,Unity,OracleDB,Other (please specify),No,No,Yes,Machine Learning Engineer,No,No
Less than 1 year,Rust,Kotlin Multiplatform Mobile (KMM),PostgreSQL,Travis CI,Yes,Yes,No,Software Engineer,No,Yes
1-3 years,Java,TensorFlow,Other (please specify),Travis CI,No,Yes,Yes,Game Developer,Yes,No
More than 5 years,C++,Keras,Other (please specify),Google Cloud Platform,Yes,Yes,No,Data Scientist,Yes,Yes
Less than 1 year,Rust,Django,MySQL,Other (please specify),No,No,Yes,Data Engineer,No,Yes
None,TypeScript,Numpy,Microsoft SQL Server,Terraform,Yes,Yes,No,DevOps Engineer,No,No
More than 5 years,C#,TensorFlow,SQLite,Nginx,Yes,No,No,Network Engineer,Yes,No
None,Rust,GTK,Other (please specify),CircleCI,Yes,Yes,No,Mobile Developer,Yes,No
3-5 years,JavaScript,Express.js,Redis,Azure,Yes,Yes,No,Mobile Developer,Yes,No
Less than 1 year,C++,JavaFX,Redis,Docker,Yes,No,Yes,Systems Analyst,No,No
1-3 years,None,SwiftUI,SQLite,AWS,Yes,Yes,Yes,Robotics Engineer,Yes,No
1-3 years,Ruby,TensorFlow,MySQL,Git,No,No,Yes,Robotics Engineer,Yes,Yes
None,C#,Scikit-Learn,Other (please specify),Nginx,No,No,No,AI Researcher,Yes,No
Less than 1 year,None,Flutter,OracleDB,Apache,Yes,Yes,Yes,Database Administrator,No,Yes
More than 5 years,Rust,React,PostgreSQL,Terraform,No,Yes,Yes,Data Engineer,Yes,No
Less than 1 year,Python,Numpy,CassandraDB,Nginx,No,No,Yes,Database Administrator,Yes,No
1-3 years,JavaScript,Flutter,OracleDB,Ansible,No,No,Yes,Front-End Developer,No,No
3-5 years,Other (please specify),Pandas,SQLite,CircleCI,No,Yes,No,Back-End Developer,Yes,Yes
1-3 years,C,PyTorch,SQLite,Docker,Yes,No,Yes,Machine Learning Engineer,No,No
Less than 1 year,Dart,Unreal Engine,Other (please specify),CircleCI,No,No,No,Full-Stack Developer,Yes,Yes
1-3 years,Ruby,Svelte,MySQL,AWS,No,Yes,No,IT Support Specialist,Yes,Yes
Less than 1 year,Swift,Xamarin,SQLite,Terraform,No,No,No,AI Researcher,Yes,Yes
Less than 1 year,Java,React,Microsoft SQL Server,Kubernetes,Yes,Yes,Yes,DevOps Engineer,No,Yes
Less than 1 year,JavaScript,Kali Linux,PostgreSQL,Terraform,No,Yes,No,Product Manager,No,Yes
Less than 1 year,PHP,Ruby on Rails,Redis,AWS,No,Yes,Yes,Back-End Developer,Yes,Yes
3-5 years,Python,React Native,Other (please specify),DigitalOcean,No,No,Yes,Front-End Developer,No,Yes
Less than 1 year,Rust,JavaFX,MongoDB,Nginx,Yes,Yes,No,Database Administrator,No,No
None,C++,React,MongoDB,CircleCI,No,Yes,Yes,AI Researcher,No,No
Less than 1 year,Ruby,Next.js,Redis,CircleCI,Yes,Yes,No,Systems Analyst,Yes,Yes
3-5 years,Python,Scikit-Learn,Other (please specify),Docker,No,No,No,Software Engineer,Yes,Yes
1-3 years,PHP,Metasploit,SQLite,Azure,No,No,Yes,AI Researcher,Yes,No
More than 5 years,Rust,Snort,MongoDB,Git,No,No,No,DevOps Engineer,Yes,Yes
None,JavaScript,Snort,MongoDB,Ansible,No,Yes,No,Back-End Developer,Yes,Yes
1-3 years,C,Kali Linux,OracleDB,Ansible,No,Yes,No,IT Support Specialist,No,Yes
None,Swift,Django,Redis,GitLab CI/CD,Yes,No,Yes,Product Manager,No,Yes
Less than 1 year,Ruby,Electron,Microsoft SQL Server,GitLab CI/CD,No,No,No,Front-End Developer,Yes,Yes
More than 5 years,Swift,Kotlin Multiplatform Mobile (KMM),Microsoft SQL Server,Ansible,Yes,No,Yes,Cloud Engineer,Yes,No
More than 5 years,Java,Nestjs,Redis,Jenkins,Yes,Yes,Yes,DevOps Engineer,No,Yes
Less than 1 year,JavaScript,Vue.js,OracleDB,Other (please specify),No,No,No,Project Manager,Yes,Yes
1-3 years,C,Keras,MySQL,DigitalOcean,No,Yes,No,Cybersecurity Analyst,No,No
Less than 1 year,JavaScript,Svelte,Redis,Jenkins,Yes,No,No,Robotics Engineer,No,No
Less than 1 year,C,Vue.js,OracleDB,Apache,Yes,Yes,Yes,Network Engineer,Yes,No
More than 5 years,Kotlin,Numpy,CassandraDB,Google Cloud Platform,Yes,No,Yes,Back-End Developer,No,Yes
Less than 1 year,C++,React Native,OracleDB,Ansible,No,Yes,No,Product Manager,No,No
Less than 1 year,C,Unity,Microsoft SQL Server,Apache,Yes,Yes,Yes,Systems Analyst,No,No
Less than 1 year,Kotlin,Burp Suite,OracleDB,DigitalOcean,No,No,No,Database Administrator,No,Yes
More than 5 years,C#,Keras,MongoDB,Nginx,Yes,Yes,No,Cybersecurity Analyst,Yes,Yes
3-5 years,PHP,OpenVAS,Redis,Azure,No,Yes,Yes,Robotics Engineer,No,Yes
3-5 years,TypeScript,JavaFX,MySQL,AWS,No,No,Yes,Game Developer,No,Yes
3-5 years,Other (please specify),Snort,CassandraDB,Travis CI,No,No,No,Robotics Engineer,Yes,No
1-3 years,C++,Svelte,PostgreSQL,Apache,Yes,Yes,Yes,Other (please specify),No,Yes
3-5 years,C#,Vue.js,Redis,AWS,No,Yes,Yes,Cloud Engineer,Yes,Yes
None,Other (please specify),Electron,Redis,Azure,Yes,Yes,No,Full-Stack Developer,Yes,No
Less than 1 year,C,Vue.js,MongoDB,Nginx,Yes,No,No,Network Engineer,No,Yes
3-5 years,Go,React,SQLite,Azure,No,No,No,Systems Analyst,Yes,Yes
More than 5 years,C,React,PostgreSQL,Azure,No,Yes,No,Front-End Developer,Yes,Yes
3-5 years,Rust,Flask,Other (please specify),Kubernetes,Yes,Yes,No,Project Manager,No,No
1-3 years,Python,Burp Suite,MongoDB,AWS,Yes,No,Yes,Machine Learning Engineer,Yes,No
More than 5 years,C#,Scikit-Learn,CassandraDB,Google Cloud Platform,Yes,Yes,Yes,Front-End Developer,Yes,No
More than 5 years,Go,Electron,Microsoft SQL Server,GitLab CI/CD,No,No,Yes,Machine Learning Engineer,No,Yes
Less than 1 year,Python,Unity,CassandraDB,Terraform,Yes,No,Yes,Other (please specify),Yes,Yes
More than 5 years,Rust,Qt,OracleDB,Azure,Yes,No,No,Data Engineer,No,Yes
Less than 1 year,Go,OpenVAS,Redis,Nginx,Yes,Yes,Yes,Software Engineer,Yes,No
Less than 1 year,C++,Metasploit,Microsoft SQL Server,Apache,No,Yes,No,AI Researcher,No,Yes
1-3 years,C,WPF,SQLite,GitLab CI/CD,No,No,Yes,Network Engineer,No,Yes
None,None,CryEngine,MongoDB,Other (please specify),Yes,Yes,Yes,Other (please specify),Yes,No
More than 5 years,C,Burp Suite,MySQL,Git,Yes,No,Yes,Data Scientist,Yes,Yes
None,Dart,Numpy,Other (please specify),Travis CI,No,No,No,AI Researcher,No,No
Less than 1 year,C#,TensorFlow,MongoDB,AWS,No,No,Yes,Game Developer,No,Yes
More than 5 years,C#,Dask,MongoDB,Docker,Yes,No,Yes,Product Manager,No,Yes
More than 5 years,Ruby,Angular,Redis,DigitalOcean,Yes,Yes,No,Back-End Developer,Yes,Yes
3-5 years,C,Wireshark,OracleDB,Azure,No,Yes,No,AI Researcher,No,No
Less than 1 year,Other (please specify),Godot,Other (please specify),AWS,Yes,No,No,Data Engineer,Yes,No
3-5 years,JavaScript,Dask,MySQL,Git,No,Yes,Yes,Database Administrator,Yes,Yes
3-5 years,Rust,React Native,MySQL,Nginx,Yes,Yes,No,Cloud Engineer,No,Yes
None,Go,Qt,PostgreSQL,Travis CI,No,No,No,Database Administrator,No,Yes
More than 5 years,Swift,Unity,MongoDB,Travis CI,No,No,No,Product Manager,No,Yes
None,JavaScript,Angular,CassandraDB,DigitalOcean,No,Yes,No,Cybersecurity Analyst,Yes,Yes
1-3 years,None,.NET Core,Redis,Google Cloud Platform,No,Yes,No,Machine Learning Engineer,No,Yes
More than 5 years,None,.NET Core,SQLite,Azure,No,No,No,Data Scientist,No,No
None,Rust,React,PostgreSQL,Terraform,No,Yes,No,AI Researcher,No,Yes
More than 5 years,JavaScript,Unity,MySQL,Jenkins,No,Yes,Yes,Game Developer,No,Yes
None,C#,Kali Linux,MongoDB,Terraform,Yes,No,No,Network Engineer,Yes,Yes
1-3 years,Go,Numpy,OracleDB,CircleCI,Yes,No,Yes,Data Engineer,Yes,No
None,Rust,Angular,Other (please specify),GitLab CI/CD,Yes,No,No,Product Manager,Yes,Yes
More than 5 years,Other (please specify),Scikit-Learn,OracleDB,Kubernetes,No,No,Yes,Robotics Engineer,No,No
1-3 years,Other (please specify),Unity,PostgreSQL,GitLab CI/CD,Yes,Yes,No,Machine Learning Engineer,Yes,Yes
3-5 years,None,PyTorch,PostgreSQL,CircleCI,No,No,Yes,Front-End Developer,Yes,Yes
Less than 1 year,Rust,Burp Suite,Other (please specify),Docker,No,No,Yes,AI Researcher,No,No
None,C,Flask,PostgreSQL,Git,No,Yes,No,Robotics Engineer,No,Yes
Less than 1 year,C,CryEngine,Redis,Nginx,Yes,Yes,Yes,Data Engineer,No,Yes
1-3 years,Dart,React,MySQL,Git,No,No,Yes,DevOps Engineer,Yes,Yes
1-3 years,PHP,Next.js,Other (please specify),Travis CI,No,No,No,Machine Learning Engineer,No,Yes
Less than 1 year,None,React,Microsoft SQL Server,Travis CI,No,No,Yes,Cybersecurity Analyst,Yes,Yes
Less than 1 year,Ruby,Next.js,OracleDB,Other (please specify),Yes,Yes,No,AI Researcher,Yes,Yes
1-3 years,PHP,Unreal Engine,MySQL,Apache,No,Yes,No,Full-Stack Developer,No,No
None,C#,Pandas,Redis,Google Cloud Platform,Yes,No,No,Software Engineer,Yes,No
None,Go,Apache Spark,OracleDB,Ansible,Yes,Yes,No,Software Engineer,No,Yes
Less than 1 year,None,Ruby on Rails,Other (please specify),Ansible,No,No,Yes,Front-End Developer,No,No
More than 5 years,Rust,React,Microsoft SQL Server,Kubernetes,Yes,Yes,Yes,Cloud Engineer,Yes,Yes
Less than 1 year,None,Pandas,MySQL,Jenkins,No,Yes,No,Cybersecurity Analyst,No,Yes
None,Ruby,Scikit-Learn,Microsoft SQL Server,CircleCI,Yes,Yes,Yes,Product Manager,No,Yes
1-3 years,Rust,Unity,OracleDB,CircleCI,Yes,Yes,Yes,AI Researcher,Yes,No
3-5 years,Java,Flutter,MySQL,AWS,No,Yes,No,Cloud Engineer,Yes,No
3-5 years,Python,Keras,PostgreSQL,Google Cloud Platform,Yes,No,Yes,Network Engineer,No,No
3-5 years,C++,Pandas,OracleDB,Other (please specify),No,Yes,Yes,Other (please specify),No,Yes
3-5 years,Go,PyTorch,SQLite,Docker,Yes,No,Yes,Software Engineer,Yes,No
More than 5 years,C,Express.js,Other (please specify),DigitalOcean,Yes,Yes,Yes,Cloud Engineer,Yes,Yes
More than 5 years,Java,Flask,PostgreSQL,Docker,No,No,Yes,Other (please specify),No,No
None,Dart,OpenVAS,Redis,Google Cloud Platform,Yes,Yes,No,Database Administrator,No,No
None,Ruby,PyTorch,Other (please specify),Git,Yes,Yes,Yes,Other (please specify),Yes,Yes
3-5 years,C,SwiftUI,Other (please specify),Nginx,Yes,No,No,Data Scientist,Yes,Yes
1-3 years,Python,Flask,MongoDB,GitLab CI/CD,No,Yes,No,Systems Analyst,Yes,Yes
Less than 1 year,Dart,Burp Suite,OracleDB,Azure,Yes,No,No,Mobile Developer,Yes,Yes
Less than 1 year,Go,Next.js,MongoDB,Travis CI,Yes,Yes,No,Project Manager,Yes,No
None,Java,Kali Linux,CassandraDB,Git,No,Yes,No,DevOps Engineer,No,No
Less than 1 year,Ruby,Electron,Other (please specify),Kubernetes,Yes,Yes,Yes,Cybersecurity Analyst,No,No
More than 5 years,C,Angular,PostgreSQL,DigitalOcean,Yes,No,Yes,Cybersecurity Analyst,Yes,No
More than 5 years,Dart,Next.js,MongoDB,DigitalOcean,Yes,Yes,No,Back-End Developer,No,No
1-3 years,C++,Wireshark,SQLite,Apache,No,Yes,Yes,Cloud Engineer,Yes,Yes
None,Java,Dask,SQLite,DigitalOcean,No,Yes,Yes,Machine Learning Engineer,No,Yes
More than 5 years,Kotlin,Next.js,SQLite,Travis CI,Yes,Yes,No,Game Developer,Yes,No
1-3 years,C,SwiftUI,CassandraDB,Docker,Yes,Yes,No,Database Administrator,Yes,Yes
More than 5 years,Go,Kali Linux,PostgreSQL,Kubernetes,Yes,Yes,No,Network Engineer,Yes,No
3-5 years,Other (please specify),Snort,Redis,Travis CI,Yes,Yes,No,Other (please specify),Yes,Yes
3-5 years,JavaScript,Django,PostgreSQL,GitLab CI/CD,No,No,Yes,Back-End Developer,No,No
1-3 years,C#,.NET Core,Microsoft SQL Server,Travis CI,No,Yes,No,Data Scientist,Yes,Yes
None,C#,PyTorch,MySQL,CircleCI,No,Yes,Yes,Data Scientist,Yes,Yes
3-5 years,C#,Flutter,Redis,Apache,Yes,Yes,No,Software Engineer,No,No
More than 5 years,JavaScript,Flask,OracleDB,Google Cloud Platform,Yes,Yes,No,IT Support Specialist,No,Yes
1-3 years,Kotlin,Svelte,Other (please specify),Travis CI,Yes,No,No,Data Scientist,Yes,No
Less than 1 year,Python,Wireshark,Microsoft SQL Server,Azure,Yes,Yes,Yes,Machine Learning Engineer,No,No
3-5 years,Rust,Apache Spark,Microsoft SQL Server,Nginx,Yes,Yes,Yes,Software Engineer,No,No
More than 5 years,TypeScript,CryEngine,CassandraDB,Ansible,No,No,Yes,Network Engineer,Yes,Yes
More than 5 years,Ruby,Kotlin Multiplatform Mobile (KMM),CassandraDB,Kubernetes,Yes,No,No,Cybersecurity Analyst,No,Yes
Less than 1 year,TypeScript,CryEngine,MySQL,Kubernetes,Yes,No,No,Cybersecurity Analyst,No,Yes
None,Java,Pandas,MySQL,Terraform,Yes,No,No,Product Manager,Yes,No
None,Python,JavaFX,Redis,Other (please specify),No,Yes,No,Software Engineer,No,Yes
More than 5 years,Go,Dask,Other (please specify),Other (please specify),Yes,No,Yes,Mobile Developer,No,Yes
1-3 years,C++,CryEngine,CassandraDB,CircleCI,No,No,No,Database Administrator,Yes,No
Less than 1 year,C,Apache Spark,Microsoft SQL Server,Git,No,Yes,No,Network Engineer,Yes,Yes
3-5 years,Swift,Keras,Other (please specify),AWS,No,No,No,Cloud Engineer,Yes,Yes
None,None,Nestjs,PostgreSQL,GitLab CI/CD,Yes,Yes,No,Project Manager,No,Yes
None,JavaScript,Nestjs,PostgreSQL,Other (please specify),No,No,No,Project Manager,No,No
More than 5 years,Other (please specify),.NET Core,SQLite,Travis CI,Yes,Yes,Yes,Data Engineer,No,No
None,Ruby,GTK,Other (please specify),Kubernetes,No,No,No,Data Scientist,Yes,No
3-5 years,Other (please specify),Apache Spark,Other (please specify),Azure,Yes,Yes,No,Network Engineer,Yes,No
Less than 1 year,None,Express.js,Redis,Docker,Yes,Yes,Yes,Full-Stack Developer,Yes,No
None,TypeScript,SwiftUI,MongoDB,Travis CI,No,Yes,Yes,Cloud Engineer,Yes,Yes
Less than 1 year,None,WPF,PostgreSQL,Travis CI,Yes,No,No,Data Scientist,No,Yes
3-5 years,Dart,Nestjs,OracleDB,Azure,No,Yes,No,Product Manager,Yes,Yes
3-5 years,Python,React Native,MongoDB,Docker,Yes,No,Yes,Cybersecurity Analyst,No,Yes
None,C++,JavaFX,PostgreSQL,Google Cloud Platform,Yes,Yes,No,Product Manager,No,No
More than 5 years,Ruby,Django,Microsoft SQL Server,Ansible,No,Yes,No,Robotics Engineer,No,Yes
More than 5 years,Kotlin,TensorFlow,CassandraDB,CircleCI,Yes,Yes,No,Systems Analyst,No,Yes
3-5 years,None,React,MySQL,AWS,No,No,No,AI Researcher,No,Yes
None,Swift,Burp Suite,MongoDB,Apache,No,Yes,Yes,Data Engineer,Yes,Yes
None,Java,Flutter,Microsoft SQL Server,Kubernetes,No,No,Yes,Front-End Developer,No,No
1-3 years,Rust,TensorFlow,MongoDB,Other (please specify),No,No,No,IT Support Specialist,No,No
More than 5 years,Ruby,Keras,PostgreSQL,Google Cloud Platform,Yes,Yes,Yes,Network Engineer,No,No
3-5 years,TypeScript,Flutter,CassandraDB,Azure,No,Yes,Yes,Other (please specify),Yes,Yes
1-3 years,C++,Dask,OracleDB,Travis CI,Yes,No,No,Database Administrator,No,No
Less than 1 year,Kotlin,TensorFlow,SQLite,Google Cloud Platform,Yes,Yes,Yes,Cybersecurity Analyst,Yes,No
Less than 1 year,None,OpenVAS,Redis,Ansible,No,No,Yes,Cybersecurity Analyst,No,Yes
1-3 years,Java,Vue.js,OracleDB,Jenkins,No,No,No,Back-End Developer,Yes,No
None,C,Ruby on Rails,MySQL,GitLab CI/CD,No,Yes,No,Back-End Developer,Yes,No
1-3 years,Other (please specify),OpenVAS,CassandraDB,DigitalOcean,No,Yes,No,Systems Analyst,Yes,Yes
1-3 years,C++,Django,Redis,Docker,Yes,No,No,Mobile Developer,Yes,Yes
None,Dart,Dask,MySQL,Jenkins,No,No,No,Robotics Engineer,No,No
3-5 years,Swift,Unreal Engine,MySQL,Docker,No,No,No,IT Support Specialist,Yes,Yes
More than 5 years,Other (please specify),Unreal Engine,PostgreSQL,Other (please specify),Yes,Yes,Yes,Network Engineer,Yes,Yes
3-5 years,C#,SwiftUI,MySQL,DigitalOcean,Yes,Yes,No,Systems Analyst,Yes,No
None,Go,Scikit-Learn,MongoDB,DigitalOcean,No,Yes,No,Data Engineer,Yes,Yes
Less than 1 year,Rust,Qt,SQLite,Apache,No,Yes,Yes,Data Scientist,Yes,Yes
None,Rust,Django,OracleDB,Jenkins,Yes,Yes,No,Machine Learning Engineer,Yes,No
1-3 years,Java,Scikit-Learn,Microsoft SQL Server,Docker,No,Yes,Yes,Other (please specify),Yes,No
Less than 1 year,C++,Dask,OracleDB,Jenkins,No,Yes,Yes,Network Engineer,No,Yes
1-3 years,TypeScript,WPF,PostgreSQL,Jenkins,No,Yes,Yes,AI Researcher,No,Yes
More than 5 years,C#,Snort,CassandraDB,Git,No,No,No,Software Engineer,Yes,No
1-3 years,Ruby,Snort,PostgreSQL,Travis CI,Yes,Yes,No,DevOps Engineer,No,Yes
Less than 1 year,Other (please specify),Apache Spark,MongoDB,DigitalOcean,Yes,Yes,No,Data Scientist,Yes,No
1-3 years,C++,Next.js,CassandraDB,Git,Yes,Yes,Yes,Front-End Developer,Yes,No
1-3 years,Python,Kotlin Multiplatform Mobile (KMM),MongoDB,Apache,Yes,No,Yes,Data Scientist,Yes,Yes
Less than 1 year,C,Apache Spark,PostgreSQL,Kubernetes,Yes,No,Yes,Product Manager,Yes,No
1-3 years,PHP,Nestjs,CassandraDB,Kubernetes,Yes,Yes,Yes,Mobile Developer,No,Yes
Less than 1 year,Dart,Apache Spark,Redis,Terraform,No,No,Yes,Mobile Developer,Yes,No
1-3 years,Java,Wireshark,MongoDB,Nginx,Yes,Yes,Yes,Game Developer,Yes,Yes
More than 5 years,None,Dask,Redis,Nginx,No,Yes,Yes,Data Engineer,Yes,Yes
Less than 1 year,None,Django,Microsoft SQL Server,AWS,No,Yes,No,Other (please specify),Yes,No
3-5 years,C#,Svelte,Redis,Jenkins,No,Yes,Yes,Network Engineer,No,Yes
More than 5 years,Swift,Godot,PostgreSQL,Nginx,No,Yes,Yes,Database Administrator,Yes,No
None,Python,Burp Suite,OracleDB,Kubernetes,No,No,No,Data Scientist,No,No
Less than 1 year,None,Django,MongoDB,Terraform,No,No,Yes,Data Engineer,Yes,Yes
More than 5 years,None,WPF,Microsoft SQL Server,Google Cloud Platform,No,No,Yes,Project Manager,No,No
More than 5 years,PHP,PyTorch,MySQL,CircleCI,Yes,No,No,DevOps Engineer,Yes,No
3-5 years,TypeScript,Burp Suite,Microsoft SQL Server,AWS,Yes,No,No,Game Developer,No,Yes
More than 5 years,C++,Wireshark,Redis,Google Cloud Platform,Yes,No,No,Network Engineer,No,Yes
More than 5 years,Dart,Unreal Engine,OracleDB,Apache,No,No,Yes,Game Developer,No,Yes
3-5 years,JavaScript,Metasploit,OracleDB,GitLab CI/CD,No,Yes,Yes,Project Manager,No,No
None,C,Ruby on Rails,Microsoft SQL Server,AWS,Yes,No,Yes,Full-Stack Developer,Yes,No
Less than 1 year,TypeScript,Svelte,Other (please specify),Apache,Yes,Yes,Yes,Game Developer,Yes,Yes
1-3 years,Go,Pandas,Microsoft SQL Server,Other (please specify),No,Yes,No,Mobile Developer,No,Yes
None,Go,Next.js,MongoDB,Git,No,No,No,Machine Learning Engineer,Yes,Yes
Less than 1 year,Ruby,Express.js,SQLite,Apache,Yes,Yes,No,Database Administrator,Yes,No
More than 5 years,C#,Kotlin Multiplatform Mobile (KMM),OracleDB,DigitalOcean,Yes,No,No,Systems Analyst,Yes,No
More than 5 years,Go,Xamarin,Redis,GitLab CI/CD,No,No,No,Data Scientist,No,No
3-5 years,Dart,PyTorch,OracleDB,Terraform,No,Yes,No,DevOps Engineer,No,Yes
Less than 1 year,Java,Kotlin Multiplatform Mobile (KMM),CassandraDB,Other (please specify),No,No,Yes,Machine Learning Engineer,Yes,Yes
Less than 1 year,JavaScript,Numpy,CassandraDB,AWS,No,Yes,Yes,Data Scientist,Yes,Yes
3-5 years,C,Next.js,Other (please specify),CircleCI,Yes,No,Yes,Data Engineer,Yes,No
Less than 1 year,Dart,GTK,PostgreSQL,Jenkins,No,No,No,IT Support Specialist,Yes,No
More than 5 years,JavaScript,Metasploit,SQLite,Terraform,No,No,Yes,Machine Learning Engineer,Yes,Yes
Less than 1 year,Rust,Wireshark,CassandraDB,Nginx,Yes,No,No,Database Administrator,No,Yes
1-3 years,Ruby,Flutter,SQLite,Terraform,Yes,No,No,Full-Stack Developer,Yes,No
More than 5 years,C#,Flask,CassandraDB,GitLab CI/CD,No,No,Yes,Robotics Engineer,No,Yes
None,C++,Scikit-Learn,CassandraDB,Git,Yes,No,Yes,Network Engineer,No,No
None,Other (please specify),Flutter,Microsoft SQL Server,AWS,Yes,No,Yes,Game Developer,No,Yes
None,C++,Express.js,PostgreSQL,Google Cloud Platform,No,Yes,Yes,Software Engineer,No,Yes
Less than 1 year,TypeScript,SwiftUI,PostgreSQL,Terraform,Yes,Yes,Yes,Network Engineer,Yes,Yes
None,Kotlin,Snort,MySQL,AWS,No,Yes,No,Project Manager,Yes,No
Less than 1 year,C,.NET Core,Microsoft SQL Server,Terraform,Yes,No,Yes,Front-End Developer,Yes,No
Less than 1 year,C++,Express.js,SQLite,DigitalOcean,Yes,Yes,Yes,Other (please specify),Yes,No
More than 5 years,Other (please specify),Unreal Engine,Redis,Git,No,Yes,Yes,Cybersecurity Analyst,No,Yes
None,Dart,Metasploit,MySQL,Google Cloud Platform,No,Yes,No,Game Developer,No,No
Less than 1 year,Go,Pandas,SQLite,Apache,No,No,No,Cybersecurity Analyst,No,No
None,C++,PyTorch,Other (please specify),CircleCI,No,No,No,Back-End Developer,Yes,No
More than 5 years,C,React,OracleDB,Apache,Yes,No,Yes,Database Administrator,Yes,No
More than 5 years,PHP,Flutter,MySQL,Apache,No,No,No,Data Engineer,No,No
None,PHP,Flask,Other (please specify),Azure,Yes,No,No,Robotics Engineer,Yes,Yes
More than 5 years,TypeScript,Flutter,CassandraDB,GitLab CI/CD,Yes,Yes,No,Software Engineer,No,No
3-5 years,Other (please specify),Kotlin Multiplatform Mobile (KMM),CassandraDB,Docker,Yes,Yes,Yes,Data Engineer,Yes,No
None,C#,Django,Redis,Apache,Yes,Yes,Yes,Robotics Engineer,No,Yes
Less than 1 year,Dart,Xamarin,Microsoft SQL Server,Azure,No,No,Yes,Game Developer,Yes,Yes
More than 5 years,Ruby,Flutter,MySQL,Git,Yes,No,Yes,Product Manager,Yes,No
None,Python,Pandas,CassandraDB,Travis CI,Yes,Yes,Yes,Product Manager,No,Yes
None,JavaScript,Vue.js,Microsoft SQL Server,Docker,Yes,Yes,No,DevOps Engineer,No,Yes
More than 5 years,TypeScript,Nestjs,CassandraDB,GitLab CI/CD,Yes,Yes,No,Mobile Developer,Yes,Yes
